date,confirmed,fatalities,new_case,growth_factor,mortality
2020-01-28,5370,129,2595,3.41897233201581,0.024022346368715083
2020-01-29,5905,130,535,0.20616570327552985,0.02201524132091448
2020-01-30,7884,168,1979,3.6990654205607476,0.0213089802130898
2020-01-31,9481,210,1597,0.8069732187973724,0.022149562282459657
2020-02-01,11508,256,2027,1.2692548528490921,0.02224539450816823
2020-02-02,16178,359,4670,2.3038973852984705,0.02219062924959822
2020-02-03,19193,423,3015,0.645610278372591,0.022039285156046477
2020-02-04,23082,489,3889,1.2898839137645108,0.021185339225370418
2020-02-05,26728,561,3646,0.9375160709694009,0.0209892247829991
2020-02-06,29778,631,3050,0.8365331870543061,0.021190140372086774
2020-02-07,33291,715,3513,1.1518032786885246,0.02147727614069869
2020-02-08,35935,801,2644,0.7526330771420439,0.022290246278001948
2020-02-09,38902,898,2967,1.1221633888048412,0.023083646085034187
2020-02-10,41459,1005,2557,0.8618132794068082,0.024240816228080754
2020-02-11,43447,1104,1988,0.7774736018771998,0.02541026998411858
2020-02-12,43823,1108,376,0.1891348088531187,0.02528352691509025
2020-02-13,58927,1358,15104,40.170212765957444,0.0230454630305293
2020-02-14,65421,1509,6494,0.4299523305084746,0.02306598798550924
2020-02-15,67528,1650,2107,0.3244533415460425,0.024434308731192986
2020-02-16,69683,1754,2155,1.022781205505458,0.025171132126917614
2020-02-17,71701,1849,2018,0.9364269141531323,0.025787645918466967
2020-02-18,73567,1985,1866,0.9246778989098117,0.026982206695937035
2020-02-19,74062,2100,495,0.2652733118971061,0.028354621803353946
2020-02-20,74618,2224,556,1.1232323232323231,0.029805140850733068
2020-02-21,75241,2228,623,1.120503597122302,0.029611514998471578
2020-02-22,76998,2434,1757,2.8202247191011236,0.031611210680796906
2020-02-23,77375,2445,377,0.21457029026750143,0.03159935379644588
2020-02-24,77938,2605,563,1.493368700265252,0.03342400369524494
2020-02-25,78790,2685,852,1.5133214920071048,0.03407792867115116
2020-02-26,79766,2746,976,1.1455399061032865,0.03442569515833814
2020-02-27,81117,2788,1351,1.3842213114754098,0.03437010737576587
2020-02-28,82501,2847,1384,1.0244263508512212,0.03450867262215004
2020-02-29,84378,2914,1877,1.35621387283237,0.034535068382753796
2020-03-01,86748,2967,2370,1.2626531699520511,0.03420251763729423
2020-03-02,88705,3051,1957,0.8257383966244726,0.034394904458598725
2020-03-03,91277,3125,2572,1.314256515074093,0.03423644510665337
2020-03-04,93549,3216,2272,0.8833592534992224,0.034377705801237855
2020-03-05,96279,3309,2730,1.2015845070422535,0.03436886548468513
2020-03-06,100127,3418,3848,1.4095238095238096,0.034136646458997076
2020-03-07,104051,3519,3924,1.0197505197505197,0.03381995367656245
2020-03-08,107874,3754,3823,0.9742609582059123,0.03479985909486994
2020-03-09,111958,3942,4084,1.0682709913680355,0.03520963218349738
2020-03-10,116590,4210,4632,1.1341821743388834,0.03610944334848615
2020-03-11,123856,4549,7266,1.5686528497409327,0.03672813589975455
2020-03-12,129198,4845,5342,0.7352050646848335,0.03750058050434217
2020-03-13,142873,5334,13675,2.559902658180457,0.037333855941990436
2020-03-14,153183,5747,10310,0.7539305301645338,0.037517217968051284
2020-03-15,164164,6376,10981,1.065082444228904,0.03883920957091689
2020-03-16,177342,7024,13178,1.2000728531099172,0.03960708687169424
2020-03-17,191389,7799,14047,1.0659432387312187,0.04074946836025059
2020-03-18,208118,8641,16729,1.1909304477824447,0.041519714777193704
2020-03-19,230530,9680,22412,1.3397094865204136,0.041990196503708846
2020-03-20,254795,11055,24265,1.0826789220060682,0.04338782158205616
2020-03-21,280457,12670,25662,1.0575726354832062,0.04517626588033103
2020-03-22,306242,14231,25785,1.0047930792611643,0.04646978533316789
2020-03-23,337220,15981,30978,1.2013961605584642,0.04739042761402052
2020-03-24,367076,18024,29856,0.9637807476273484,0.049101548453181355
2020-03-25,405528,20492,38452,1.2879153269024652,0.05053165256159871
2020-03-26,449755,23093,44227,1.1501872464371163,0.05134573267667952
2020-03-27,495466,26050,45711,1.0335541637461279,0.05257676611513202
2020-03-28,542221,29122,46755,1.0228391415632998,0.053708727622131934
2020-03-29,581850,32002,39629,0.8475884932092824,0.05500042966400275
2020-03-30,623948,35340,42098,1.0623028590173862,0.05663933532922615
2020-03-31,673350,38976,49402,1.1734999287377073,0.05788371574961016
