Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
Peru,PER,2017,30.14589917,11.87558225,17.89055294,0.511672052
Philippines,PHL,2017,106.8724834,70.18225729,35.51927631,1.633341712
Poland,POL,2017,34.26669114,3.316359351,29.53041717,1.81119144
Portugal,PRT,2017,15.49125211,0.623960069,12.8132229,2.334882317
Puerto Rico,PRI,2017,16.96289757,0.127165388,15.7793304,1.200385927
Qatar,QAT,2017,61.79388295,0.003858714,60.32076372,2.282447529
Romania,ROU,2017,40.41600613,9.549933083,29.52682308,1.662040776
Russia,RUS,2017,42.73102728,0.163369309,41.35818505,1.46470254
Rwanda,RWA,2017,97.08200324,74.04282801,21.48466904,2.763154915
Saint Lucia,LCA,2017,39.21108794,5.211432825,33.99965512,0
Saint Vincent and the Grenadines,VCT,2017,48.67290216,10.41422313,38.2127147,0.059680299
Samoa,WSM,2017,76.83415608,60.58533753,16.24759917,0.001699245
Sao Tome and Principe,STP,2017,110.0812449,74.22618558,33.31577333,3.860018238
Saudi Arabia,SAU,2017,64.07581883,0.162205962,62.14309684,2.6963899
Scotland,,2017,16.50679758,0.647409091,14.11334894,1.952404659
Senegal,SEN,2017,106.0552118,81.3654671,23.59981668,1.890270569
Serbia,SRB,2017,62.57853348,22.92674816,37.63655417,2.738878955
Seychelles,SYC,2017,42.32630252,3.660678959,38.22685752,0.555509281
Sierra Leone,SLE,2017,149.5983372,131.611501,16.67988984,2.329201901
Singapore,SGP,2017,19.98012765,0.035673999,19.29837689,0.809215757
Slovakia,SVK,2017,35.36190177,1.629034885,32.47774036,1.564860028
Slovenia,SVN,2017,19.72328919,1.56563815,16.79094781,1.691018697
Solomon Islands,SLB,2017,187.2542829,168.8177865,18.34299762,0.14896474
Somalia,SOM,2017,165.8285822,147.8894878,17.11434118,1.621409677
South Africa,ZAF,2017,57.85389002,10.9969022,44.64444651,2.923280372
South Asia,,2017,128.8032175,52.53805749,66.90052674,15.83877881
South Korea,KOR,2017,21.69790199,0.015175744,20.12307511,2.020468181
South Sudan,SSD,2017,156.1654699,129.4237858,24.92356244,3.48970446
Southeast Asia,,2017,66.89490628,35.01660237,29.8931859,2.809789356
"Southeast Asia, East Asia, and Oceania",,2017,72.56410761,21.25422102,44.90832184,9.473460986
Southern Latin America,,2017,28.39385664,2.372909583,24.71485624,1.579413338
Southern Sub-Saharan Africa,,2017,69.84809263,25.33879122,42.13127547,3.23413429
Spain,ESP,2017,14.48129276,0.439644465,11.59834417,2.838956796
Sri Lanka,LKA,2017,38.46263658,25.16209966,12.83279698,0.597240139
Sub-Saharan Africa,,2017,102.7262742,72.18739463,28.93596419,2.660492464
Sudan,SDN,2017,95.70386242,52.43083263,41.76431657,2.404803908
Suriname,SUR,2017,48.71442865,11.35105155,36.92001981,0.582342985
Swaziland,SWZ,2017,106.341769,63.4518771,39.07458229,5.164878949
Sweden,SWE,2017,9.39530308,0.175397016,8.040952359,1.289808036
Switzerland,CHE,2017,11.70517165,0.188247935,10.03948849,1.729488261
Syria,SYR,2017,64.22641351,0.088204618,62.06124074,2.874932139
Taiwan,TWN,2017,32.74411356,1.583705492,28.21611917,3.791293467
Tajikistan,TJK,2017,94.29643743,39.95346535,52.36181318,2.94450889
Tanzania,TZA,2017,96.53732288,78.76730456,16.89103741,1.51640746
Thailand,THA,2017,32.81342263,6.704581833,25.44783111,0.87757681
Timor,TLS,2017,97.66245516,78.41731941,18.03969053,1.888341155
Togo,TGO,2017,115.2294338,89.88397596,24.00627694,2.320647251
Tonga,TON,2017,70.72940437,46.12549056,24.6027424,0.001474957
Trinidad and Tobago,TTO,2017,51.80870491,0.870471807,50.54986887,0.49778649
Tropical Latin America,,2017,30.58040702,6.051460534,22.75460603,2.131973217
Tunisia,TUN,2017,51.6134135,0.189651653,49.35461322,2.812374514
Turkey,TUR,2017,46.77557879,0.400058689,43.12637267,4.526615042
Turkmenistan,TKM,2017,67.29758186,0.444896732,65.65694225,1.505881817
Uganda,UGA,2017,93.71754319,69.22226959,23.13923063,2.436207762
Ukraine,UKR,2017,63.88562435,4.875243395,57.85280531,1.458416263
United Arab Emirates,ARE,2017,77.84550799,0.278385207,73.72327254,5.292742032
United Kingdom,GBR,2017,17.78370015,0.248832546,16.04766925,1.738457585
United States,USA,2017,18.82514567,0.089135041,15.04392511,4.142218557
United States Virgin Islands,VIR,2017,29.74854604,1.227088107,28.26110512,0.303774205
Uruguay,URY,2017,20.4019747,1.25798039,17.8103914,1.541233959
Uzbekistan,UZB,2017,105.0869242,23.63350658,79.784633,2.216787599
Vanuatu,VUT,2017,139.6507287,120.4976417,18.80394708,0.520373724
Venezuela,VEN,2017,34.74692209,0.472980894,33.0522639,1.501719073
Vietnam,VNM,2017,60.3175333,25.63626388,32.80021105,2.634433991
Wales,,2017,18.5972317,0.408713817,16.5986085,1.846076957
Western Europe,,2017,16.55536413,0.237111235,14.62037454,2.015222793
Western Sub-Saharan Africa,,2017,103.2415957,70.14070632,31.86420599,2.134778053
World,OWID_WRL,2017,63.8229656,21.46604129,38.15435671,6.226275181
Yemen,YEM,2017,96.50135105,36.35533376,58.03978474,3.10745115
Zambia,ZMB,2017,98.86996278,74.84471993,21.53725328,4.015376226
Zimbabwe,ZWE,2017,125.0288426,96.23599602,26.16618236,4.052494813
